sigungu,lat,lon,shelter_name,shelter_type,road_address,lot_address,area_m2,capacity,fans,aircons,rest_area,night_open,weekend_open,stay_open
포항시,35.9651348,129.4124638,문덕4리마을쉼터,특정계층이용시설,경상북도 포항시 남구 오천읍 해병로337번길 20,-,132,40,1,1,-,아니오,아니오,아니오
김천시,36.1851449,128.1291955,중왕2리어모경로당,특정계층이용시설,경상북도 김천시 어모면 중왕길 82-21,-,160,40,2,1,-,-,-,예
김천시,36.1515441,128.0471589,예지2리(내립석)경로당,특정계층이용시설,경상북도 김천시 봉산면 예지3길 207-7,-,84,21,2,1,-,아니오,아니오,예
김천시,36.1430311,128.0515519,예지2리율리경로당,특정계층이용시설,경상북도 김천시 봉산면 예지2길 5,-,108,27,2,1,-,아니오,아니오,예
김천시,36.1459171,128.063271,신리경로당,특정계층이용시설,경상북도 김천시 봉산면 봉계길 122,-,120,30,2,1,-,아니오,아니오,예
포항시,36.0069755,129.3191104,유강우방타운경로당,특정계층이용시설,경상북도 포항시 남구 연일읍 유강길 32 (유강우방타운),-,59,18,1,1,-,아니오,아니오,아니오
포항시,36.0078842,129.3183884,유강원동경로당,특정계층이용시설,경상북도 포항시 남구 연일읍 유강길 50,-,100,30,1,1,-,아니오,아니오,아니오
포항시,35.9818032,129.3633614,제내부녀마을쉼터,특정계층이용시설,경상북도 포항시 남구 대송면 제내길47번길 8,-,106,32,1,1,-,아니오,아니오,아니오
포항시,35.95844,129.346322,장동마을쉼터,특정계층이용시설,경상북도 포항시 남구 대송면 장동홍계길220번길 3 (장동2리경로당),-,39,12,2,1,-,아니오,아니오,아니오
포항시,35.968339,129.362414,송동마을쉼터,특정계층이용시설,경상북도 포항시 남구 대송면 운제로 225,-,52,16,2,1,-,아니오,아니오,아니오
경주시,35.8586592,129.2912239,손곡동마을회관,특정계층이용시설,경상북도 경주시 손곡1길 9 (손곡동),-,93,28,2,2,-,아니오,아니오,아니오
경주시,35.824281,129.343387,황용경로당,특정계층이용시설,경상북도 경주시  절골안길  2   (황용동),-,91,28,2,1,-,아니오,아니오,아니오
성주군,35.956151,128.316595,안포3리경로당,특정계층이용시설,"경상북도 성주군 월항면 안포길  119-2, 상포마을회관",-,89,22,2,1,-,아니오,아니오,아니오
경주시,35.815541,129.363998,추원모차골마을회관,특정계층이용시설,경상북도 경주시  추원길  90   (황용동),-,67,20,2,2,-,아니오,아니오,아니오
구미시,36.209168,128.323695,화개공원,야외시설,경상북도 구미시 고아읍 들성로 173-24,-,56.5,9,정보없음,정보없음,-,아니오,아니오,아니오
구미시,36.151935,128.327425,평성공원,야외시설,경상북도 구미시 고아읍 관심5길 19-13,-,7.7,2,정보없음,정보없음,-,아니오,아니오,아니오
포항시,36.0703311,129.3737902,대방한양경로당,특정계층이용시설,"경상북도 포항시 북구 성실로 66-11 (장성동, 대방한양아파트)",-,96,29,2,1,-,아니오,아니오,아니오
문경시,36.611844,127.99653,연천2리마을회관정자,야외시설,경상북도 문경시 농암면 연천1길 13,-,20,4,정보없음,정보없음,-,-,-,-
포항시,35.978792,129.400246,원리마을쉼터,특정계층이용시설,경상북도 포항시 남구 오천읍 중원로82번길 42 (원1리마을회관),-,52,16,1,1,-,아니오,아니오,아니오
성주군,35.952679,128.317568,안포4리경로당,특정계층이용시설,경상북도 성주군 월항면 중포길  56-10,-,110,27,3,1,-,아니오,아니오,아니오
포항시,35.9612415,129.418314,한마음경로당,특정계층이용시설,경상북도 포항시 남구 오천읍 철강로830번길 21-1,-,100,30,1,1,-,아니오,아니오,아니오
포항시,35.9680389,129.4042651,원6리경로당,특정계층이용시설,경상북도 포항시 남구 오천읍 냉천로298번길 50 (우승하나빌),-,100,30,1,1,-,아니오,아니오,아니오
경주시,35.893495,129.042361,아화2리경로당,특정계층이용시설,"경상북도 경주시 서면 아화안장터길  51 , 야화2리경로당",-,98,30,1,1,-,아니오,아니오,아니오
경주시,35.888566,129.076986,운대2리경로당,특정계층이용시설,"경상북도 경주시 서면 부운길  2 , 운대2리경로당",-,172,52,3,2,-,아니오,아니오,아니오
포항시,36.0326636,129.3168759,그린어버이집마을쉼터,특정계층이용시설,경상북도 포항시 남구 지곡로328번길 17 (지곡동),-,69.3,39,1,1,-,아니오,아니오,아니오
