emd_code,sido_name,sigungu_name,emd_name,center_lat,center_lon,grid_nx,grid_ny,announce_time,temperature,humidity,feels_like,risk_tier
4792034000,경상북도,봉화군,춘양면,37.00248895105644,128.83948226907495,92,115,20260823T01:00,19.7,95.0,22.5,양호
4725054000,경상북도,상주시,계림동,36.44043788100158,128.18778110626477,81,103,20260823T01:00,23.0,100.0,26.3,양호
4725045000,경상북도,상주시,공검면,36.51691005368353,128.1412703648267,80,104,20260823T01:00,23.0,100.0,26.3,양호
4725035000,경상북도,상주시,공성면,36.29374480742234,128.08764259245186,80,99,20260823T01:00,22.2,100.0,25.5,양호
4725033000,경상북도,상주시,낙동면,36.36533711612202,128.25141404083428,82,101,20260823T01:00,23.0,100.0,26.3,양호
4725033500,경상북도,상주시,낙동면동부출장소,36.363581125625046,128.29701962889087,83,101,20260823T01:00,23.0,100.0,26.3,양호
4725052000,경상북도,상주시,남원동,36.41062607256983,128.1321087883894,80,102,20260823T01:00,23.0,100.0,26.3,양호
4725037000,경상북도,상주시,내서면,36.40557885516,128.06341260435735,79,102,20260823T01:00,23.0,100.0,26.3,양호
4725055000,경상북도,상주시,동문동,36.42922748633415,128.21164506870338,82,102,20260823T01:00,23.0,100.0,26.3,양호
4725056000,경상북도,상주시,동성동,36.3894928908556,128.18473407148454,81,102,20260823T01:00,23.0,100.0,26.3,양호
4725038000,경상북도,상주시,모동면,36.29889218865123,127.96250779698697,77,99,20260823T01:00,22.2,100.0,25.5,양호
4725039000,경상북도,상주시,모서면,36.32978763314923,127.89470271634852,76,100,20260823T01:00,21.3,98.0,24.4,양호
4725039500,경상북도,상주시,모서면서부출장소,36.30683815253666,127.87101772516075,76,100,20260823T01:00,21.3,98.0,24.4,양호
4725053000,경상북도,상주시,북문동,36.44403009882285,128.15988424966997,81,103,20260823T01:00,23.0,100.0,26.3,양호
4725032500,경상북도,상주시,사벌국면,36.48463312422086,128.22228823922896,82,104,20260823T01:00,23.0,100.0,26.3,양호
4725032000,경상북도,상주시,사벌면,36.48455287215229,128.2221423647193,82,104,20260823T01:00,23.0,100.0,26.3,양호
4725057000,경상북도,상주시,신흥동,36.37032445872856,128.14794650010077,81,101,20260823T01:00,23.0,100.0,26.3,양호
4725036000,경상북도,상주시,외남면,36.357214118680574,128.07994955370262,79,101,20260823T01:00,21.7,94.0,24.5,양호
4725043000,경상북도,상주시,외서면,36.48364145033454,128.0478233077838,79,104,20260823T01:00,21.7,94.0,24.5,양호
4725044000,경상북도,상주시,은척면,36.5501680359321,128.06803575081503,79,105,20260823T01:00,22.3,100.0,25.6,양호
4725044500,경상북도,상주시,은척면북부출장소,36.57727071875498,128.0877273237054,79,106,20260823T01:00,21.7,94.0,24.5,양호
4725046000,경상북도,상주시,이안면,36.5772553302735,128.1192581500614,80,106,20260823T01:00,22.3,100.0,25.6,양호
4725031000,경상북도,상주시,중동면,36.43195988571916,128.27936616768633,83,103,20260823T01:00,23.0,100.0,26.3,양호
