SERIAL	ADMCD	ADMNM	LAT	LON
4350	4782029000	경상북도 청도군 화양읍남성현출장	35.6958717	128.7175462
4351	4782029100	경상북도 청도군 청도읍유호출장소	35.5718980	128.7688239
4352	4782031000	경상북도 청도군 각남면	35.6206566	128.6614712
4353	4782032000	경상북도 청도군 풍각면	35.6359234	128.5827705
4354	4782033000	경상북도 청도군 각북면	35.6906268	128.5722809
4355	4782034000	경상북도 청도군 이서면	35.6922805	128.6537778
4356	4782035000	경상북도 청도군 운문면	35.7269394	128.9479151
4357	4782036000	경상북도 청도군 금천면	35.6985267	128.9034349
4358	4782037000	경상북도 청도군 매전면	35.6651815	128.8471146
4359	4783000000	경상북도 고령군	35.7309989	128.3108926
4360	4783025000	경상북도 고령군 고령읍	35.7306357	128.2616164
4361	4783025300	경상북도 고령군 대가야읍	35.7306357	128.2616164
4362	4783031000	경상북도 고령군 덕곡면	35.7860792	128.2048047
4363	4783032000	경상북도 고령군 운수면	35.7828746	128.2909604
4364	4783033000	경상북도 고령군 성산면	35.7586709	128.3599651
4365	4783034000	경상북도 고령군 다산면	35.8159110	128.4246178
4366	4783035000	경상북도 고령군 개진면	35.7064359	128.3989223
4367	4783036000	경상북도 고령군 우곡면	35.6585067	128.3376233
4368	4783037000	경상북도 고령군 쌍림면	35.6889547	128.2398347
4369	4784000000	경상북도 성주군	35.9161991	128.2286893
4370	4784025000	경상북도 성주군 성주읍	35.9197118	128.2822565
4371	4784031000	경상북도 성주군 선남면	35.9031216	128.3564056
4372	4784032000	경상북도 성주군 용암면	35.8409116	128.3177013
4373	4784033000	경상북도 성주군 수륜면	35.8328363	128.2001693
4374	4784034000	경상북도 성주군 가천면	35.8690871	128.1305931
4375	4784035000	경상북도 성주군 금수면	35.9193773	128.1307260
4376	4784035500	경상북도 성주군 금수강산면	35.9192955	128.1308473
4377	4784036000	경상북도 성주군 대가면	35.9028170	128.2080103
4378	4784037000	경상북도 성주군 벽진면	35.9759745	128.1904616
4379	4784038000	경상북도 성주군 초전면	35.9979017	128.2503538
4380	4784039000	경상북도 성주군 월항면	35.9744401	128.3023393
4381	4785000000	경상북도 칠곡군	36.0043949	128.4644939
4382	4785025000	경상북도 칠곡군 왜관읍	35.9560868	128.4117779
4383	4785025300	경상북도 칠곡군 북삼읍	36.0600627	128.3467443
4384	4785025600	경상북도 칠곡군 석적읍	36.0497667	128.4456633
4385	4785031000	경상북도 칠곡군 지천면	35.9663457	128.4827068
4386	4785032000	경상북도 칠곡군 동명면	36.0046790	128.5621266
4387	4785033000	경상북도 칠곡군 가산면	36.0752099	128.5159764
4388	4785034000	경상북도 칠곡군 석적면	36.0497667	128.4456633
4389	4785035000	경상북도 칠곡군 북삼면	36.0600627	128.3467443
4390	4785036000	경상북도 칠곡군 약목면	36.0261462	128.3568916
4391	4785037000	경상북도 칠곡군 기산면	35.9789529	128.3601746
4392	4790000000	경상북도 예천군	36.6520967	128.4726895
4393	4790025000	경상북도 예천군 예천읍	36.6619483	128.4493945
4394	4790025300	경상북도 예천군 호명읍	36.6090425	128.4760508
4395	4790031000	경상북도 예천군 용문면	36.7070995	128.4057824
4396	4790032000	경상북도 예천군 상리면	36.7966418	128.4220123
4397	4790033000	경상북도 예천군 하리면	36.7459647	128.4367516
4398	4790034000	경상북도 예천군 감천면	36.7306750	128.5212648
4399	4790035000	경상북도 예천군 보문면	36.6808693	128.5452504
4400	4790036000	경상북도 예천군 호명면	36.6094112	128.4761561
4401	4790037000	경상북도 예천군 유천면	36.6532279	128.3769237
4402	4790038000	경상북도 예천군 용궁면	36.6104260	128.2960413
4403	4790039000	경상북도 예천군 개포면	36.6121685	128.3692013
4404	4790040000	경상북도 예천군 지보면	36.5493078	128.3876586
4405	4790041000	경상북도 예천군 풍양면	36.5107218	128.3041206
4406	4790042000	경상북도 예천군 효자면	36.7966418	128.4220123
4407	4790043000	경상북도 예천군 은풍면	36.7459647	128.4367516
4408	4792000000	경상북도 봉화군	36.9232945	128.9018974
4409	4792025000	경상북도 봉화군 봉화읍	36.8890827	128.7051130
4410	4792031000	경상북도 봉화군 물야면	36.9751903	128.7472849
4411	4792032000	경상북도 봉화군 봉성면	36.9117333	128.8099989
4412	4792033000	경상북도 봉화군 법전면	36.9083286	128.9090092
4413	4792034000	경상북도 봉화군 춘양면	37.0024890	128.8394823
4414	4792035000	경상북도 봉화군 소천면	36.9555026	129.0203950
4415	4792036000	경상북도 봉화군 재산면	36.8127849	129.0001014
4416	4792037000	경상북도 봉화군 명호면	36.8337160	128.8848756
4417	4792038000	경상북도 봉화군 상운면	36.8402806	128.7843084
4418	4792039000	경상북도 봉화군 석포면	37.0446805	129.0649121
4419	4793000000	경상북도 울진군	36.8947919	129.2843931
4420	4793025000	경상북도 울진군 울진읍	37.0013502	129.3564417
4421	4793025300	경상북도 울진군 평해읍	36.7261130	129.4465590
