region_code,sido,sigungu,gu,eupmyeondong,level,region_name,total_population,elderly_65_plus,elderly_65_ratio,elderly_75_plus,elderly_75_ratio,elderly_85_plus,elderly_85_ratio,child_0_14,child_0_14_ratio,working_15_64,working_15_64_ratio,aging_index,pop_0_9,ratio_0_9,pop_10_19,ratio_10_19,pop_20_29,ratio_20_29,pop_30_39,ratio_30_39,pop_40_49,ratio_40_49,pop_50_59,ratio_50_59,pop_60_69,ratio_60_69,pop_70_79,ratio_70_79,pop_80_plus,ratio_80_plus,base_year
4713032000,경상북도,경주시,,양남면,eupmyeondong,양남면,6218,2402,38.63,943,15.17,289,4.65,308.0,4.95,3508.0,56.42,779.9,160.0,2.57,313.0,5.03,395.0,6.35,430.0,6.92,588.0,9.46,1175.0,18.9,1624.0,26.12,953.0,15.33,580.0,9.33,2026
4713033000,경상북도,경주시,,내남면,eupmyeondong,내남면,4267,2306,54.04,1093,25.62,370,8.67,111.0,2.6,1850.0,43.36,2077.5,47.0,1.1,141.0,3.3,167.0,3.91,178.0,4.17,266.0,6.23,597.0,13.99,1234.0,28.92,944.0,22.12,693.0,16.24,2026
4713034000,경상북도,경주시,,산내면,eupmyeondong,산내면,3108,1864,59.97,823,26.48,238,7.66,50.0,1.61,1194.0,38.42,3728.0,25.0,0.8,59.0,1.9,68.0,2.19,100.0,3.22,161.0,5.18,402.0,12.93,1022.0,32.88,779.0,25.06,492.0,15.83,2026
4713035000,경상북도,경주시,,서면,eupmyeondong,서면,2885,1570,54.42,806,27.94,233,8.08,76.0,2.63,1239.0,42.95,2065.8,39.0,1.35,102.0,3.54,103.0,3.57,127.0,4.4,179.0,6.2,425.0,14.73,751.0,26.03,675.0,23.4,484.0,16.78,2026
4713036000,경상북도,경주시,,현곡면,eupmyeondong,현곡면,21403,4033,18.84,1464,6.84,414,1.93,2993.0,13.98,14377.0,67.17,134.7,1736.0,8.11,2387.0,11.15,1730.0,8.08,2483.0,11.6,3305.0,15.44,4009.0,18.73,3278.0,15.32,1668.0,7.79,807.0,3.77,2026
4713037000,경상북도,경주시,,강동면,eupmyeondong,강동면,5701,2586,45.36,1166,20.45,380,6.67,177.0,3.1,2938.0,51.53,1461.0,84.0,1.47,196.0,3.44,362.0,6.35,314.0,5.51,395.0,6.93,1045.0,18.33,1512.0,26.52,1087.0,19.07,706.0,12.38,2026
4713038000,경상북도,경주시,,천북면,eupmyeondong,천북면,5333,2022,37.91,925,17.34,278,5.21,308.0,5.78,3003.0,56.31,656.5,183.0,3.43,270.0,5.06,293.0,5.49,463.0,8.68,568.0,10.65,938.0,17.59,1207.0,22.63,866.0,16.24,545.0,10.22,2026
4713051500,경상북도,경주시,,중부동,eupmyeondong,경주시 중부동,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,2026
4713052000,경상북도,경주시,,성동동,eupmyeondong,성건동,12204,4464,36.58,1984,16.26,439,3.6,400.0,3.28,7340.0,60.14,1116.0,202.0,1.66,623.0,5.1,1962.0,16.08,922.0,7.55,1031.0,8.45,1976.0,16.19,2305.0,18.89,2134.0,17.49,1049.0,8.6,2026
4713053000,경상북도,경주시,,황오동,eupmyeondong,황오동,9451,4109,43.48,1914,20.25,503,5.32,308.0,3.26,5034.0,53.26,1334.1,146.0,1.54,400.0,4.23,711.0,7.52,699.0,7.4,947.0,10.02,1488.0,15.74,2085.0,22.06,1867.0,19.75,1108.0,11.72,2026
4713055000,경상북도,경주시,,성건동,eupmyeondong,성건동,12204,4464,36.58,1984,16.26,439,3.6,400.0,3.28,7340.0,60.14,1116.0,202.0,1.66,623.0,5.1,1962.0,16.08,922.0,7.55,1031.0,8.45,1976.0,16.19,2305.0,18.89,2134.0,17.49,1049.0,8.6,2026
4713056000,경상북도,경주시,,탑정동,eupmyeondong,경주시 탑정동,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,2026
