region_code,sido,sigungu,eupmyeondong,level,lat,lon
4719066000,경상북도,구미시,임오동,eupmyeondong,36.076222,128.362721
4719067000,경상북도,구미시,인동동,eupmyeondong,36.097301,128.451853
4719068000,경상북도,구미시,진미동,eupmyeondong,36.104062,128.409074
4719069000,경상북도,구미시,양포동,eupmyeondong,36.1351,128.412822
4719070000,경상북도,구미시,공단동,eupmyeondong,36.093272,128.379858
4721000000,경상북도,영주시,,sigungu,36.880491,128.534994
4721025000,경상북도,영주시,풍기읍,eupmyeondong,36.90781,128.48778
4721031000,경상북도,영주시,이산면,eupmyeondong,36.813302,128.699653
4721032000,경상북도,영주시,평은면,eupmyeondong,36.748751,128.706835
4721033000,경상북도,영주시,문수면,eupmyeondong,36.747434,128.62603
4721034000,경상북도,영주시,장수면,eupmyeondong,36.781245,128.558424
4721035000,경상북도,영주시,안정면,eupmyeondong,36.842707,128.557195
4721036000,경상북도,영주시,봉현면,eupmyeondong,36.819231,128.500173
4721037000,경상북도,영주시,순흥면,eupmyeondong,36.927937,128.553004
4721038000,경상북도,영주시,단산면,eupmyeondong,36.96087,128.593379
4721039000,경상북도,영주시,부석면,eupmyeondong,36.980781,128.656245
4721051000,경상북도,영주시,상망동,eupmyeondong,36.855953,128.627317
4721052500,경상북도,영주시,하망동,eupmyeondong,36.822379,128.636434
4721055000,경상북도,영주시,영주1동,eupmyeondong,36.828996,128.620171
4721056000,경상북도,영주시,영주2동,eupmyeondong,36.823127,128.618337
4721059000,경상북도,영주시,휴천1동,eupmyeondong,36.811476,128.650947
4721060000,경상북도,영주시,휴천2동,eupmyeondong,36.810384,128.62277
4721061000,경상북도,영주시,휴천3동,eupmyeondong,36.795256,128.64287
4721062000,경상북도,영주시,가흥1동,eupmyeondong,36.802324,128.604639
4721063000,경상북도,영주시,가흥2동,eupmyeondong,36.842237,128.604842
4723000000,경상북도,영천시,,sigungu,36.007498,128.915793
4723025000,경상북도,영천시,금호읍,eupmyeondong,35.923805,128.891633
4723031000,경상북도,영천시,청통면,eupmyeondong,35.982475,128.83534
4723032000,경상북도,영천시,신녕면,eupmyeondong,36.05756,128.761509
4723033000,경상북도,영천시,화산면,eupmyeondong,36.048968,128.844488
4723034000,경상북도,영천시,화북면,eupmyeondong,36.128163,128.948271
4723035000,경상북도,영천시,화남면,eupmyeondong,36.083196,128.877989
4723036000,경상북도,영천시,자양면,eupmyeondong,36.109123,129.037331
4723037000,경상북도,영천시,임고면,eupmyeondong,36.044346,129.051012
4723038000,경상북도,영천시,고경면,eupmyeondong,35.978653,129.042083
4723039000,경상북도,영천시,북안면,eupmyeondong,35.894751,129.000756
4723040000,경상북도,영천시,대창면,eupmyeondong,35.865319,128.922773
4723051000,경상북도,영천시,동부동,eupmyeondong,35.991762,128.950899
4723052000,경상북도,영천시,중앙동,eupmyeondong,36.001321,128.927409
4723053500,경상북도,영천시,서부동,eupmyeondong,35.972571,128.898389
4723054000,경상북도,영천시,완산동,eupmyeondong,35.961188,128.953477
4723055500,경상북도,영천시,남부동,eupmyeondong,35.924169,128.959649
4725000000,경상북도,상주시,,sigungu,36.447093,128.096999
4725025000,경상북도,상주시,함창읍,eupmyeondong,36.551821,128.19194
4725031000,경상북도,상주시,중동면,eupmyeondong,36.43196,128.279366
4725032000,경상북도,상주시,사벌면,eupmyeondong,36.484553,128.222142
4725032500,경상북도,상주시,사벌국면,eupmyeondong,36.484633,128.222288
4725033000,경상북도,상주시,낙동면,eupmyeondong,36.365337,128.251414
4725033500,경상북도,상주시,낙동면동부출장소,eupmyeondong,36.363581,128.29702
4725034000,경상북도,상주시,청리면,eupmyeondong,36.332376,128.136858
4725035000,경상북도,상주시,공성면,eupmyeondong,36.293745,128.087643
4725036000,경상북도,상주시,외남면,eupmyeondong,36.357214,128.07995
4725037000,경상북도,상주시,내서면,eupmyeondong,36.405579,128.063413
4725038000,경상북도,상주시,모동면,eupmyeondong,36.298892,127.962508
4725039000,경상북도,상주시,모서면,eupmyeondong,36.329788,127.894703
4725039500,경상북도,상주시,모서면서부출장소,eupmyeondong,36.306838,127.871018
4725040000,경상북도,상주시,화동면,eupmyeondong,36.398124,127.976243
